cc-q1,cc-q2,cc-q3,cc-q4,cc-q5,cc-q6,cc-q7,cc-q8,cc-q9,cc-q10,cc-q11,cc-q12,cc-q13,cc-q14,cc-q15,cc-q16,cc-q17,cc-q18,cc-q19,cc-q20,cc-q21,cc-q22,cc-q23,cc-q24,cc-q25,cc-q26,cc-q27,cc-q28,cc-q29,cc-q30,cc-q31,cc-q32,cc-q33,cc-q34,cc-q35,cc-q36,cc-q37,cc-q38,cc-q39,cc-q40,cc-q41,cc-q42,cc-q43,cc-q44,cc-q45,cc-q46,cc-q47,cc-q48,cc-q49,cc-q50,cc-q51,cc-q52,cc-q53,cc-q54,cc-q55,cc-q56,cc-q57,cc-q58,cc-q59,cc-q60,Career
1,1,0,2,0,2,0,0,0,1,1,0,2,0,2,2,1,2,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,Project Manager
1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,2,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,Full Stack Developer
0,2,1,1,0,0,2,0,0,1,2,1,0,0,1,1,1,2,2,1,1,0,0,1,0,0,0,0,1,1,1,1,2,0,0,1,0,1,2,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,Data Analyst
0,1,2,2,1,1,1,0,2,1,2,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,AI Engineer
2,2,1,2,0,2,1,0,1,0,0,2,0,1,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,AI Researcher
2,2,1,0,1,2,0,0,0,0,2,2,2,1,1,2,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,Backend Developer
1,0,1,0,0,1,2,0,1,0,2,0,2,1,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,Project Manager
2,1,0,2,0,0,2,0,2,0,1,1,0,0,2,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,Data Analyst
0,0,2,1,1,2,2,1,0,1,1,2,0,1,2,0,1,1,2,0,1,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,1,0,2,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,AI Engineer
2,2,0,0,0,1,2,0,0,0,2,2,0,0,2,1,1,2,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,Backend Developer
1,2,0,1,0,2,0,1,1,0,0,2,2,1,2,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0,0,1,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,Data Scientist
1,1,0,1,0,0,0,1,0,1,2,0,2,0,1,1,0,1,2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,Business Analyst
1,0,2,1,0,0,1,0,2,1,0,2,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,AI Engineer
0,0,2,0,1,1,2,0,0,1,1,2,1,0,1,1,1,1,2,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,Project Manager
1,1,2,2,1,1,0,1,1,0,0,0,2,0,2,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,Project Manager
2,2,1,2,0,0,0,0,2,0,0,1,1,1,3,0,1,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,Business Analyst
0,0,2,1,0,2,0,0,0,1,0,0,1,0,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,AI Engineer
0,2,0,1,0,2,1,0,2,0,2,0,1,0,3,1,0,2,2,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,Full Stack Developer
2,2,0,0,0,0,0,0,1,1,2,2,2,0,3,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,Backend Developer
2,1,0,1,0,1,1,1,0,0,1,0,0,0,3,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,Backend Developer
1,0,1,0,0,0,1,0,0,1,2,1,0,1,1,1,0,0,2,0,0,1,1,0,0,1,0,1,0,0,0,1,2,1,0,0,0,0,2,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,AI Engineer
2,2,1,1,0,2,2,0,1,0,2,1,2,0,1,0,0,2,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,Project Manager
2,1,1,0,0,2,1,0,1,0,1,0,1,0,3,2,0,2,2,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,2,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,AI Engineer
0,0,0,0,1,0,1,0,1,0,2,1,0,1,2,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,Full Stack Developer
1,2,0,1,0,1,1,0,2,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,Data Scientist
2,0,2,2,0,1,2,0,1,0,2,1,0,1,3,0,0,2,1,0,0,0,0,0,0,1,1,0,0,1,1,0,2,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,Business Analyst
0,1,0,0,0,1,2,0,2,0,0,0,2,1,3,2,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,Data Scientist
2,1,0,0,0,2,1,1,0,1,1,2,1,0,2,0,0,2,0,1,1,0,0,1,0,0,0,0,0,1,0,1,2,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,Data Analyst
0,0,2,0,1,0,1,0,2,0,0,1,2,0,2,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,Data Analyst
0,1,2,1,0,2,0,1,0,0,0,2,2,0,1,2,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,AI Engineer
2,0,1,2,0,2,1,1,0,0,1,2,1,0,1,2,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,Full Stack Developer
0,1,2,0,0,0,1,1,0,0,1,0,1,0,2,1,0,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Data Scientist
2,2,2,2,0,0,1,0,2,0,2,0,0,1,2,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,Backend Developer
1,0,0,1,0,1,1,0,1,0,1,1,2,0,1,2,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Data Scientist
0,2,1,2,1,2,2,0,2,0,0,1,2,1,1,2,0,2,1,0,0,0,1,1,0,1,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,AI Researcher
1,0,1,1,0,2,1,0,1,0,2,1,1,0,3,2,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,Project Manager
2,1,0,0,0,0,1,0,0,1,1,2,1,0,2,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,Backend Developer
0,2,0,0,1,1,1,0,2,0,2,2,1,0,2,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,Backend Developer
1,1,1,1,1,2,0,1,1,0,2,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,Business Analyst
2,0,2,1,1,0,0,0,2,0,0,2,1,0,1,2,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,AI Engineer
1,0,1,0,1,1,0,1,1,1,2,2,1,0,2,1,0,2,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,2,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,Business Analyst
0,0,1,0,0,2,1,0,2,0,1,2,2,0,3,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Backend Developer
2,2,0,0,0,1,2,0,1,1,1,2,0,0,3,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,2,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,Project Manager
2,0,0,2,0,1,0,0,2,0,1,0,2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,AI Researcher
0,0,1,0,0,1,1,0,1,0,0,0,2,0,2,0,0,0,2,1,0,1,0,0,1,1,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,AI Engineer
0,2,0,2,0,2,1,0,2,0,0,0,2,1,2,1,0,2,2,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Project Manager
2,2,2,0,0,0,1,0,0,0,0,1,2,0,2,2,1,0,2,1,1,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,Business Analyst
1,0,1,1,0,2,2,1,0,0,0,2,2,1,3,1,0,0,2,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,Backend Developer
0,0,0,1,1,0,1,1,0,0,1,1,0,0,3,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,Data Analyst
0,2,2,0,0,1,1,0,2,1,2,1,2,1,3,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,2,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,AI Researcher
2,0,0,1,0,1,2,0,1,0,0,0,0,1,1,0,1,2,1,0,1,0,0,1,0,0,1,0,0,0,0,1,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,Business Analyst
2,0,1,1,0,2,2,1,2,0,0,2,2,0,2,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,Full Stack Developer
0,0,1,0,1,0,1,1,0,0,2,0,0,1,1,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,AI Researcher
1,2,2,2,0,1,0,0,0,0,1,1,2,1,3,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,Business Analyst
0,1,1,2,0,0,2,1,1,0,1,2,2,0,3,2,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,Project Manager
0,2,1,1,0,2,1,1,0,0,0,1,2,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,2,1,1,0,0,0,2,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,Full Stack Developer
1,1,0,0,0,1,1,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Business Analyst
0,0,1,0,1,0,2,0,0,0,2,1,0,0,3,2,1,1,2,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,Business Analyst
0,2,0,1,0,2,0,0,2,0,1,1,0,1,2,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,AI Researcher
0,1,1,1,0,1,0,0,2,0,2,0,1,0,1,2,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,Full Stack Developer
1,0,1,0,1,0,0,1,0,1,0,2,1,0,1,0,0,2,2,0,1,1,0,1,1,0,0,1,0,0,0,0,2,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,Project Manager
0,0,1,2,1,1,0,0,0,0,1,0,2,0,1,1,1,2,0,0,0,0,1,1,0,1,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,Data Scientist
1,0,1,0,0,0,1,1,2,0,1,2,1,0,1,1,0,2,1,1,0,0,0,0,1,0,1,1,0,0,0,0,2,0,1,1,0,1,2,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,Business Analyst
1,0,2,2,0,2,2,1,1,0,2,1,0,0,2,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,1,2,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,AI Researcher
1,1,2,1,0,0,2,0,2,1,1,0,2,0,2,0,0,2,0,0,0,1,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,Full Stack Developer
1,2,1,2,0,1,2,1,0,0,2,0,2,0,3,0,1,2,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,AI Researcher
0,1,2,1,1,0,1,1,2,0,0,2,0,1,3,1,1,2,2,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Data Scientist
1,0,2,1,0,2,1,1,0,1,2,2,0,1,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,Data Scientist
0,2,1,1,0,2,1,0,1,0,1,1,1,0,2,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,Business Analyst
0,1,2,1,1,1,0,0,2,0,1,2,1,0,1,0,1,0,2,0,0,1,0,1,0,0,0,1,0,1,0,0,2,1,1,0,0,0,2,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,Data Scientist
0,2,1,1,0,0,2,0,0,1,1,1,2,0,3,1,1,0,2,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,AI Engineer
0,2,2,1,0,2,1,0,0,0,1,2,0,0,3,2,0,2,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,Data Scientist
0,0,1,1,1,1,0,1,0,0,2,2,1,1,3,2,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,AI Researcher
2,1,1,1,1,1,0,0,2,0,1,0,2,0,2,1,0,0,2,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,Full Stack Developer
2,1,2,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Data Scientist
1,1,2,0,0,0,0,1,1,1,2,1,0,1,3,2,0,2,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,Full Stack Developer
1,1,1,2,0,0,1,1,0,0,2,0,0,0,1,0,1,1,2,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,Full Stack Developer
1,2,1,0,0,0,2,0,1,0,2,1,1,0,1,2,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,2,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,Full Stack Developer
0,2,0,0,0,0,1,0,1,0,2,1,1,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Data Analyst
2,0,2,1,0,0,0,0,2,0,1,0,0,0,3,1,0,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,Data Analyst
1,1,1,0,0,0,1,0,1,0,1,1,1,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,Data Scientist
1,0,2,2,0,2,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,Business Analyst
1,2,1,0,0,0,0,0,0,0,1,1,2,0,1,0,0,2,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,Business Analyst
2,2,2,2,0,0,1,0,0,0,2,0,1,0,3,2,1,1,2,0,0,0,1,1,0,1,0,0,0,0,1,1,2,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,AI Researcher
2,1,2,2,1,1,1,0,1,0,1,1,0,0,1,2,0,2,2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,Project Manager
2,0,1,1,0,1,1,1,2,0,2,2,0,1,2,2,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,AI Researcher
0,1,0,1,0,2,1,0,2,0,1,0,2,0,1,2,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,AI Engineer
2,1,1,1,0,1,2,0,1,0,2,1,2,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Project Manager
2,2,2,2,1,2,2,1,0,0,0,2,0,1,3,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Data Analyst
1,0,0,1,1,0,1,1,2,0,0,0,0,0,1,2,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,AI Researcher
0,0,0,0,0,2,1,1,0,0,0,2,0,0,2,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,Business Analyst
2,1,0,2,0,0,1,0,2,1,0,0,0,1,3,1,0,2,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,Project Manager
0,0,1,0,1,0,2,0,0,0,0,2,1,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,Project Manager
2,2,1,0,0,0,2,1,0,1,1,1,1,0,2,2,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,Full Stack Developer
