cc-q1,cc-q2,cc-q3,cc-q4,cc-q5,cc-q6,cc-q7,cc-q8,cc-q9,cc-q10,cc-q11,cc-q12,cc-q13,cc-q14,cc-q15,cc-q16,cc-q17,cc-q18,cc-q19,cc-q20,cc-q21,cc-q22,cc-q23,cc-q24,cc-q25,cc-q26,cc-q27,cc-q28,cc-q29,cc-q30,cc-q31,cc-q32,cc-q33,cc-q34,cc-q35,cc-q36,cc-q37,cc-q38,cc-q39,cc-q40,cc-q41,cc-q42,cc-q43,cc-q44,cc-q45,cc-q46,cc-q47,cc-q48,cc-q49,cc-q50,cc-q51,cc-q52,cc-q53,cc-q54,cc-q55,cc-q56,cc-q57,cc-q58,cc-q59,cc-q60,Career
1,1,1,1,0,1,1,0,1,0,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst
1,1,1,1,0,1,1,0,1,0,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AI Engineer
1,1,1,1,0,1,1,0,1,0,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Full Stack Developer
1,1,1,1,0,1,1,0,1,0,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Project Manager
1,1,1,1,0,1,1,0,1,0,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Business Analyst
1,1,1,1,0,1,1,0,1,0,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Backend Developer
1,1,1,1,0,1,1,0,1,0,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AI Researcher
1,1,1,1,0,1,1,0,1,0,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist
 

ip-q1,ip-q2,ip-q3,ip-q4,ip-q5,ip-q6,ip-q7,ip-q8,ip-q9,ip-q10,ip-q11,ip-q12,ip-q13,ip-q14,ip-q15,ip-q16,ip-q17,ip-q18,ip-q19,ip-q20,ip-q21,ip-q22,ip-q23,ip-q24,ip-q25,ip-q26,ip-q27,ip-q28,ip-q29,ip-q30,ip-q31,ip-q32,ip-q33,ip-q34,ip-q35,ip-q36,ip-q37,ip-q38,ip-q39,ip-q40,ip-q41,ip-q42,ip-q43,ip-q44,ip-q45,ip-q46,ip-q47,ip-q48,ip-q49,ip-q50,Career
0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,0,1,2,3,0,Business Analyst
2,0,1,3,1,2,0,3,2,0,1,3,2,0,1,2,0,1,3,1,2,0,3,2,0,1,3,2,0,1,2,0,1,3,1,2,0,3,2,0,1,3,2,0,1,2,0,1,3,2,Backend Developer
1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,1,2,3,0,1,AI Researcher
3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,3,2,1,0,3,2,1,0,3,2,1,0,3,2,1,3,2,1,0,3,Data Scientist


scenario-q1,scenario-q2,scenario-q3,scenario-q4,scenario-q5,scenario-q6,scenario-q7,scenario-q8,scenario-q9,scenario-q10,scenario-q11,scenario-q12,scenario-q13,scenario-q14,scenario-q15,scenario-q16,scenario-q17,scenario-q18,scenario-q19,scenario-q20,scenario-q21,scenario-q22,scenario-q23,scenario-q24,scenario-q25,scenario-q26,scenario-q27,scenario-q28,scenario-q29,scenario-q30,scenario-q31,scenario-q32,scenario-q33,scenario-q34,scenario-q35,scenario-q36,scenario-q37,scenario-q38,scenario-q39,scenario-q40,scenario-q41,scenario-q42,scenario-q43,scenario-q44,scenario-q45,scenario-q46,scenario-q47,scenario-q48,scenario-q49,scenario-q50,Career
0,1,3,0,0,1,1,1,0,0,3,3,2,0,1,0,2,2,2,1,1,2,1,0,2,0,0,0,0,0,1,0,2,2,1,2,1,0,1,0,2,1,2,1,1,0,0,1,1,2,Data Analyst
1,2,2,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,Project Manager
2,0,1,2,2,0,0,0,2,2,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,Backend Developer
3,3,0,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,AI Researcher
1,1,1,1,1,1,1,1,1,1,3,0,2,1,1,0,2,2,2,1,1,2,1,0,2,0,0,0,0,0,1,0,2,2,1,2,1,0,1,0,2,1,2,1,1,0,0,1,1,2,AI Engineer
0,2,2,0,2,0,2,0,2,0,1,2,0,2,0,2,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,Full Stack Developer
2,2,0,2,0,2,0,2,0,2,2,1,1,1,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,Business Analyst
3,0,3,3,0,3,0,3,0,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Data Scientist


TQ1,TQ2,TQ3,TQ4,TQ5,TQ6,TQ7,TQ8,TQ9,TQ10,TQ11,TQ12,TQ13,TQ14,TQ15,TQ16,TQ17,TQ18,TQ19,TQ20,TQ21,TQ22,TQ23,TQ24,TQ25,TQ26,TQ27,TQ28,TQ29,TQ30,TQ31,TQ32,TQ33,TQ34,TQ35,TQ36,TQ37,TQ38,TQ39,TQ40,TQ41,TQ42,TQ43,TQ44,TQ45,TQ46,TQ47,TQ48,TQ49,TQ50,TQ51,TQ52,TQ53,TQ54,TQ55,TQ56,TQ57,TQ58,TQ59,TQ60,TQ61,TQ62,TQ63,TQ64,TQ65,TQ66,TQ67,TQ68,TQ69,TQ70,Career
1,0,1,2,2,0,1,1,2,0,3,1,1,1,1,0,2,0,1,0,1,0,1,1,0,1,1,1,2,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,1,1,0,3,1,0,1,2,1,0,0,1,1,1,0,1,1,0,0,0,Data Analyst
1,0,1,2,2,0,1,1,2,0,3,1,1,1,1,0,2,0,1,0,1,0,1,1,0,1,1,1,2,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,1,1,0,3,1,0,1,2,1,0,0,1,1,1,0,1,1,0,0,0,AI Engineer
1,0,1,2,2,0,1,1,2,0,3,1,1,1,1,0,2,0,1,0,1,0,1,1,0,1,1,1,2,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,1,1,0,3,1,0,1,2,1,0,0,1,1,1,0,1,1,0,0,0,Full Stack Developer
1,0,1,2,2,0,1,1,2,0,3,1,1,1,1,0,2,0,1,0,1,0,1,1,0,1,1,1,2,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,1,1,0,3,1,0,1,2,1,0,0,1,1,1,0,1,1,0,0,0,Project Manager
1,0,1,2,2,0,1,1,2,0,3,1,1,1,1,0,2,0,1,0,1,0,1,1,0,1,1,1,2,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,1,1,0,3,1,0,1,2,1,0,0,1,1,1,0,1,1,0,0,0,Business Analyst
1,0,1,2,2,0,1,1,2,0,3,1,1,1,1,0,2,0,1,0,1,0,1,1,0,1,1,1,2,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,1,1,0,3,1,0,1,2,1,0,0,1,1,1,0,1,1,0,0,0,Backend Developer
1,0,1,2,2,0,1,1,2,0,3,1,1,1,1,0,2,0,1,0,1,0,1,1,0,1,1,1,2,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,1,1,0,3,1,0,1,2,1,0,0,1,1,1,0,1,1,0,0,0,AI Researcher
1,0,1,2,2,0,1,1,2,0,3,1,1,1,1,0,2,0,1,0,1,0,1,1,0,1,1,1,2,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,1,1,0,3,1,0,1,2,1,0,0,1,1,1,0,1,1,0,0,0,Data Scientist
                                      
 
